actor/actor_loss,grad/max,grad/min,grad/norm,step
1.1831397,0.011935397,-0.010886345,0.38536888,1
0.07373423,0.028100293,-0.030782934,2.8612435,5000
0.037943717,0.021040065,-0.021056294,1.7472738,10000
0.04069523,0.04236485,-0.044476565,2.5634556,15000
0.03630395,0.034678143,-0.023625208,1.8008171,20000
0.029759847,0.029241815,-0.024813266,1.7216364,25000
0.027489906,0.026789593,-0.03804326,1.5322831,30000
0.03318479,0.03955692,-0.03360442,1.6568116,35000
0.024153225,0.058909863,-0.037931096,1.562485,40000
0.029128034,0.05265651,-0.035160217,1.4916703,45000
0.016681315,0.016538553,-0.021019403,0.9363005,50000
0.023450097,0.044648636,-0.06354049,1.5917357,55000
0.025965132,0.03282896,-0.031289373,1.3790997,60000
0.021456871,0.02308255,-0.038590148,1.1827768,65000
0.022263419,0.042771276,-0.026918901,1.3180465,70000
0.023288943,0.023264721,-0.026115563,1.337071,75000
0.017194163,0.0147229275,-0.02084108,1.0806732,80000
0.035066865,0.0579533,-0.091629885,2.0563295,85000
0.008556581,0.025317442,-0.01937955,0.6742838,90000
0.02241196,0.04185419,-0.088529274,1.9309914,95000
0.010812467,0.023515902,-0.017818922,0.8591646,100000
0.024991684,0.051831074,-0.038996138,1.5605793,105000
0.012661912,0.043050077,-0.026621917,0.86999214,110000
0.020134285,0.04382969,-0.022438861,1.2749339,115000
0.01894046,0.03458974,-0.0267726,1.0559009,120000
0.019296357,0.08673457,-0.04247866,1.6012323,125000
0.008393003,0.014202143,-0.016400889,0.8456649,130000
0.008906729,0.044644088,-0.046015628,1.1695777,135000
0.017685622,0.07886397,-0.05167198,1.6239992,140000
0.024610277,0.085749924,-0.040675923,1.6641576,145000
0.021573499,0.13650104,-0.058069736,2.1159391,150000
0.018005436,0.031466506,-0.05847996,1.1942996,155000
0.013920513,0.02823405,-0.06058941,1.0969312,160000
0.0094817635,0.052920796,-0.07958674,1.1015031,165000
0.010498616,0.032548696,-0.013640193,0.78972715,170000
0.01321962,0.0427208,-0.032034896,1.1932039,175000
