training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.5263324,0.0,-24.834751,-30.972666,0.30448785,-0.45404467,25.566383,0.0051138513,-22.068523,-27.65973,0.038964927,0.13723662905693054,686.1831557750702,1000
0.44614208,0.0,-36.811184,-45.823215,0.692665,-0.34528822,40.556076,-0.23974323,-34.94807,-43.00477,0.020276714,0.0006802391052246094,689.5843594074249,2000
0.36367354,0.0,-43.08073,-57.408066,0.49464193,-0.20623086,30.016825,0.26068556,-41.964123,-55.222225,0.029278707,0.0007488808155059815,693.3287718296051,3000
0.97723925,0.0,-47.33326,-66.951904,0.6242165,-0.79364276,42.564022,-0.6615837,-46.74991,-65.25168,0.07196401,0.0007234537601470948,696.946051120758,4000
0.46233833,0.0,-50.365288,-74.00424,0.24854298,-0.5922029,26.135145,0.24251787,-50.176643,-72.6803,0.031078074,0.0007071903228759766,700.4820108413696,5000
0.4303791,-1.0,-50.356422,-78.59968,0.2599171,-0.77676845,29.010015,-0.9963132,-50.247765,-77.56231,0.031233117,0.0007205327987670899,704.0846834182739,6000
0.3124082,0.0,-48.12507,-82.23183,0.29918647,-0.53373766,20.911266,0.11928987,-48.092937,-81.143906,0.020457648,0.0007266422748565674,707.7179024219513,7000
0.19349399,0.0,-46.172546,-85.99869,0.28421825,-0.49768558,17.201012,-0.059631042,-46.165104,-85.21325,0.019844666,0.0007402419090270996,711.4191200733185,8000
0.311211,-1.0,-49.80596,-86.351906,0.6045989,-0.257944,21.622213,-0.75574315,-49.79217,-85.96967,0.017221954,0.0007641395568847657,715.2398257255554,9000
0.32088745,0.0,-48.25685,-89.84867,0.4608103,-0.6121452,21.529257,-0.19023752,-48.244232,-89.587616,0.038760282,0.0007097673416137695,718.7886710166931,10000
0.25733215,0.0,-48.38262,-84.53886,0.59023607,-0.27447206,18.517899,0.20103039,-48.35296,-84.9113,0.016932264,0.0006904261112213135,722.2408125400543,11000
0.28356642,0.0,-49.099632,-91.94791,0.27799952,-0.24387603,13.045288,0.103677094,-49.0615,-91.70479,0.025896803,0.000706660795211792,725.7741272449493,12000
0.22767895,-1.0,-49.921356,-92.4136,0.77600515,-0.21162367,16.448406,-1.0469614,-49.876324,-92.20366,0.015533239,0.0007969677448272705,729.7589771747589,13000
0.32357538,0.0,-50.035194,-92.05262,0.37860304,-0.6393315,17.815979,-0.40725756,-49.995804,-92.18392,0.0196466,0.000750583028793335,733.5119009017944,14000
0.14859703,0.0,-49.194374,-90.10906,0.34456575,-0.22026268,12.820095,-0.025473595,-49.174965,-90.24194,0.011456837,0.000701800537109375,737.020911693573,15000
0.17357236,0.0,-47.619507,-92.041595,0.46586144,-0.21262799,15.143686,0.15969975,-47.592896,-91.8729,0.0148288505,0.0006778403282165528,740.4101221561432,16000
0.12655227,-1.0,-50.498585,-89.61905,0.14629054,-0.2913662,10.660113,-1.0351399,-50.476257,-89.80519,0.007831167,0.0006822458267211914,743.8213591575623,17000
0.20655298,-1.0,-49.79274,-91.41963,0.41794288,-0.6147766,16.31193,-0.8372185,-49.766914,-91.53408,0.023314172,0.0007057554721832275,747.3501443862915,18000
0.070683256,-1.0,-48.18515,-90.21389,0.20717631,-0.09161032,7.155056,-1.1337553,-48.15551,-90.381,0.0064260815,0.0006841498851776123,750.7709040641785,19000
0.0633416,0.0,-48.59703,-87.91689,0.08910461,-0.24520594,8.689856,-0.07488107,-48.56025,-88.19406,0.00687645,0.0007590385913848877,754.5661084651947,20000
0.09762654,0.0,-50.065643,-91.40043,0.1357582,-0.33605027,10.598984,0.4256263,-50.028664,-91.55274,0.0076836073,0.0010566999435424804,759.849615573883,21000
0.21524866,0.0,-49.820927,-89.86552,0.35372183,-0.61078745,16.612936,-0.162558,-49.772476,-90.07976,0.023998737,0.0008173546314239502,763.9363975524902,22000
0.09782111,0.0,-50.13211,-92.262184,0.3408167,-0.106288984,9.564888,0.40713608,-50.09959,-92.102425,0.011340484,0.0007750007152557373,767.8114116191864,23000
0.072078034,0.0,-48.96112,-91.939644,0.21170817,-0.23182298,6.0119047,-0.017868176,-48.9244,-91.98289,0.0056176074,0.0007391038894653321,771.5069389343262,24000
0.060863383,0.0,-48.50128,-87.402306,0.15803948,-0.10945155,4.7875543,0.16858561,-48.463997,-87.47154,0.0049479534,0.0007505604743957519,775.2597486972809,25000
0.09585939,0.0,-50.480385,-92.39149,0.114742994,-0.424047,9.778324,-0.27222258,-50.46887,-92.02531,0.0057806936,0.0007384888648986817,778.9522013664246,26000
0.06954872,0.0,-51.336845,-86.58363,0.16720238,-0.21599522,5.7657185,-0.025400862,-51.304855,-86.53597,0.0051410366,0.0007470095157623291,782.6872594356537,27000
0.07840832,0.0,-48.51716,-86.68968,0.3019064,-0.18255365,7.14952,0.28191483,-48.483303,-86.255196,0.0073157605,0.0007185811519622803,786.280172586441,28000
0.06550155,-1.0,-48.184376,-85.24951,0.10885094,-0.33865625,8.679244,-0.8496382,-48.178005,-85.30514,0.011270679,0.0006899471759796142,789.7299165725708,29000
0.07331698,0.0,-49.003265,-87.417015,0.25178593,-0.09451951,8.302673,-0.022525132,-48.989952,-87.56872,0.014507243,0.0007112320899963379,793.2860872745514,30000
0.059418112,0.0,-47.653503,-89.3452,0.13086466,-0.27134892,8.406564,0.17025337,-47.633316,-89.3871,0.0047098156,0.0006718253135681152,796.6452214717865,31000
0.063253894,-1.0,-52.060287,-85.568924,0.14366865,-0.41511336,11.716335,-0.8934368,-52.035744,-85.54262,0.0044633867,0.0006682684898376465,799.9865717887878,32000
0.10471738,0.0,-47.035,-91.86713,0.4738726,-0.11499026,9.174629,0.06673437,-47.018936,-91.90972,0.005902569,0.0007038869857788085,803.506014585495,33000
0.07539359,0.0,-48.607224,-92.02998,0.2592755,-0.4827427,13.516974,0.044249423,-48.577877,-91.90197,0.005813312,0.0006744273185729981,806.8781588077545,34000
0.04751409,0.0,-50.871323,-91.507675,0.07753339,-0.1843279,5.609854,0.13947695,-50.85544,-91.68899,0.0037088448,0.0006765489101409912,810.2609140872955,35000
0.06602284,0.0,-50.45497,-89.082565,0.15282202,-0.2369817,5.2378793,0.21378478,-50.423843,-89.1583,0.0044488865,0.0006648378849029541,813.5851111412048,36000
0.035655353,0.0,-49.75921,-88.61314,0.11715953,-0.130844,3.6674082,0.03213319,-49.738586,-88.6423,0.0033591925,0.0006554150581359864,816.8621945381165,37000
0.072897136,0.0,-49.892822,-87.20551,0.23386565,-0.12470404,6.0477667,0.12407673,-49.87144,-87.16889,0.005182039,0.0006524800777435302,820.124603509903,38000
0.047260307,0.0,-49.77265,-84.90871,0.17326447,-0.16741759,4.175651,0.005131416,-49.7557,-84.90921,0.0035317112,0.0006655420780181885,823.4523212909698,39000
0.059527826,0.0,-47.840057,-89.63928,0.21306655,-0.08342726,5.140123,0.018393181,-47.81628,-89.64256,0.0056209937,0.0007049995422363281,826.9773268699646,40000
0.06572662,0.0,-48.872128,-90.6007,0.07216516,-0.21080676,5.869036,-0.08603929,-48.85109,-90.676834,0.004800817,0.0007543630123138427,830.7491493225098,41000
0.05025029,0.0,-47.1938,-90.952835,0.2138656,-0.17831486,5.597727,0.14557892,-47.17852,-91.03923,0.0034398884,0.0007299148559570313,834.3987312316895,42000
0.061153494,0.0,-45.85125,-87.65125,0.12117167,-0.32070023,9.104728,0.17543714,-45.822502,-87.68477,0.007197274,0.000751313066482544,838.1553070545197,43000
0.031498678,-1.0,-51.60018,-91.36664,0.16796696,-0.17611444,4.0082664,-0.8531416,-51.587757,-91.411446,0.0026487065,0.0006827493667602539,841.5690619945526,44000
0.036327437,0.0,-49.376778,-85.782715,0.118352205,-0.0995646,3.1737015,0.045422494,-49.361557,-85.93103,0.0025591918,0.0006689598083496094,844.9138684272766,45000
0.044617247,0.0,-52.268963,-91.74407,0.28750774,-0.17738259,6.5332522,-0.023992412,-52.247215,-91.79872,0.0032352463,0.0006698182582855225,848.2629671096802,46000
0.050101943,0.0,-49.342125,-86.56343,0.13614929,-0.32696712,5.0172462,0.12200197,-49.32881,-86.59686,0.0039060395,0.0006411794662475585,851.4688725471497,47000
0.05683075,0.0,-47.707752,-90.89819,0.09919408,-0.1421369,3.2610805,0.15440732,-47.69081,-90.95676,0.007813123,0.0006615151882171631,854.7764565944672,48000
0.038289085,0.0,-48.070137,-85.58808,0.18078701,-0.080196775,4.329731,-0.07698545,-48.052437,-85.570816,0.0031222282,0.0006640156745910644,858.0965430736542,49000
0.035788238,-1.99,-48.547485,-91.517784,0.25026774,-0.09749968,6.697212,-1.9137532,-48.530254,-91.58054,0.0027833676,0.0006927091121673584,861.5600917339325,50000
0.036048166,0.0,-50.543976,-91.89451,0.12272875,-0.20656274,4.19672,0.0732836,-50.519066,-91.697975,0.0036835019,0.0033607689380645753,878.3639392852783,55000
0.066649154,0.0,-47.93519,-90.07949,0.41192237,-0.14090596,9.964442,0.15558279,-47.918556,-90.139496,0.005804778,0.003269089412689209,894.7093913555145,60000
0.050712347,0.0,-50.785248,-91.53807,0.13234752,-0.102032706,3.0413747,0.22858796,-50.77363,-91.51253,0.0049598226,0.0033992665290832518,911.7057273387909,65000
0.024461728,0.0,-50.36254,-90.80362,0.08358817,-0.06608736,2.0328493,0.04086621,-50.34707,-90.827,0.0016843858,0.004495894718170166,934.1852037906647,70000
0.021060757,0.0,-49.919838,-85.10704,0.14060926,-0.05727128,2.9169278,-0.01942186,-49.910004,-85.07641,0.0045182738,0.003438284158706665,951.3766295909882,75000
0.037306655,-1.0,-49.749756,-87.83825,0.057099175,-0.18923551,4.0254235,-0.97686064,-49.73466,-87.906784,0.0039059552,0.0033473811149597166,968.1135380268097,80000
0.024012962,0.0,-47.97243,-91.75281,0.2337552,-0.061236374,4.0872407,-0.008609891,-47.964176,-91.67557,0.0020196005,0.0035547643184661863,985.8873627185822,85000
0.025420375,0.0,-46.774208,-87.53017,0.06833424,-0.18125278,4.493257,0.03382346,-46.75054,-87.41116,0.0023899146,0.003522286605834961,1003.4987993240356,90000
0.02302894,0.0,-49.860176,-83.44302,0.065835305,-0.15641963,3.1754458,0.11745749,-49.84346,-83.47783,0.0017807372,0.003445122718811035,1020.7244181632996,95000
0.018508898,0.0,-48.33649,-91.56757,0.094618425,-0.05156371,2.21015,0.059311405,-48.32732,-91.62075,0.0016627437,0.003244551229476929,1036.9471769332886,100000
0.029916886,0.0,-48.911385,-85.48492,0.22744125,-0.056542926,3.9669833,0.0976976,-48.895393,-85.498985,0.002082719,0.10698869547843932,1571.8906564712524,105000
0.01714824,0.0,-50.837757,-86.62548,0.035794105,-0.13181072,2.2939544,0.0811262,-50.818993,-86.64552,0.0012509436,0.0032938492774963377,1588.3599071502686,110000
0.020461697,0.0,-50.787613,-84.54892,0.08729192,-0.038946487,1.8383291,0.12833735,-50.77201,-84.549995,0.0012913502,0.0033568614959716796,1605.1442177295685,115000
0.011142632,0.0,-48.116497,-90.858986,0.06695925,-0.082549825,1.4421805,0.018665254,-48.10064,-90.8825,0.0010126823,0.003220263433456421,1621.2455379962921,120000
0.021539472,-1.0,-49.912277,-89.949394,0.059079573,-0.19188347,3.703403,-1.0137783,-49.903114,-90.00918,0.0012603318,0.003297433567047119,1637.7327091693878,125000
0.00811053,0.0,-50.382446,-90.6412,0.03925361,-0.107852,1.4046422,0.039663196,-50.374718,-90.65206,0.0006731585,0.0035518131256103516,1655.4917781352997,130000
0.013497334,0.0,-49.80966,-86.34223,0.062056843,-0.16949579,3.595796,0.022421017,-49.797173,-86.370125,0.0022001583,0.004142449378967285,1676.2040293216705,135000
0.017777856,0.0,-51.18722,-89.19405,0.094736114,-0.092964515,2.020055,0.024072096,-51.17798,-89.229744,0.0012733368,0.003482032871246338,1693.6141970157623,140000
0.017164785,-1.0,-52.033268,-91.15778,0.16661152,-0.0744665,3.5344696,-1.0010453,-52.020233,-91.16981,0.0012695487,0.0034401347637176513,1710.8148746490479,145000
0.009551586,-1.0,-47.932953,-90.49479,0.07251307,-0.051441178,1.3070784,-0.944696,-47.91764,-90.55781,0.0009437953,0.0033366728782653807,1727.498244047165,150000
0.012194412,0.0,-48.941414,-89.02808,0.04478722,-0.08380243,1.5450923,0.0074851513,-48.930183,-89.039986,0.0014692901,0.0034471449375152586,1744.7339725494385,155000
0.008810645,0.0,-50.315742,-83.695885,0.040733814,-0.10778502,1.6748132,-0.011850677,-50.30419,-83.710754,0.0005893464,0.0034504745960235597,1761.9863500595093,160000
