classifier_loss,grad/max,grad/min,grad/norm,step
4.518355,1.3356619,-1.5384493,151.89868,1
0.09375177,0.5958961,-0.37116933,22.758738,50
0.031122178,0.20787469,-0.11281398,8.947752,100
0.0020795937,0.017902732,-0.012621842,0.7443044,150
0.0074581797,0.051526718,-0.032687858,1.3987352,200
0.004460554,0.023973033,-0.018400237,1.0393523,250
0.0006961553,0.0025338838,-0.0021478562,0.12055632,300
0.0002874168,0.0009574606,-0.0018490222,0.06479688,350
0.00085975556,0.019217748,-0.0075869258,0.6302348,400
0.00010802394,0.00056580146,-0.0006560238,0.030971576,450
0.00027520457,0.001598155,-0.0011525203,0.06681484,500
7.2361574e-05,0.00037340852,-0.00040257286,0.019870097,550
6.8170986e-05,0.0003874547,-0.00037258794,0.023890352,600
0.00013274488,0.0011102912,-0.0017356526,0.098739795,650
3.0644944e-05,0.00029847625,-0.00020082659,0.009490628,700
7.975657e-05,0.0005408951,-0.0009438562,0.03794297,750
3.0409024e-05,0.0001373418,-0.00018480269,0.008469955,800
7.856866e-05,0.0007804737,-0.0005597508,0.041552547,850
2.3905004e-05,7.639051e-05,-0.00012046236,0.005914127,900
1.937775e-05,6.518571e-05,-0.00013296187,0.0043147253,950
1.6844118e-05,0.00017897403,-0.00014622658,0.0063527115,1000
2.6940414e-05,0.00010474144,-0.00011403978,0.005483682,1050
2.1929747e-05,0.00023298805,-0.00017706481,0.007684707,1100
9.441011e-06,4.2713462e-05,-5.757792e-05,0.0024213898,1150
2.7617956e-05,0.00035059074,-0.00051959965,0.020837314,1200
9.345986e-06,5.060604e-05,-0.00011137592,0.0030297926,1250
1.4435704e-05,4.2353946e-05,-5.474808e-05,0.0023290042,1300
1.9101688e-05,6.86619e-05,-0.000104585764,0.004953866,1350
7.0582682e-06,4.595473e-05,-3.9664632e-05,0.0020074896,1400
1.2250677e-05,0.00012568798,-0.00015779116,0.0072335424,1450
9.204488e-06,5.5380726e-05,-8.9423935e-05,0.002889835,1500
9.1800875e-06,0.00020332803,-9.839251e-05,0.0076833037,1550
8.5723e-06,0.000101722966,-0.000112389054,0.0053898967,1600
5.592502e-06,2.7144639e-05,-2.0359126e-05,0.0010740942,1650
4.7231388e-06,2.5836373e-05,-2.4138739e-05,0.0013137746,1700
7.884973e-06,7.6144206e-05,-5.7683766e-05,0.0036273282,1750
9.206094e-06,9.925863e-05,-9.609816e-05,0.0063680615,1800
5.8331116e-06,3.7201222e-05,-2.7486352e-05,0.0017920135,1850
1.5195292e-05,0.0002563723,-0.0002541899,0.015429398,1900
1.1153172e-05,4.5180503e-05,-7.4499985e-05,0.002767176,1950
6.2186155e-06,7.074533e-05,-8.6957516e-05,0.004691327,2000
4.425768e-06,9.1232345e-05,-4.1480525e-05,0.0031443068,2050
3.95574e-06,2.081707e-05,-2.0330304e-05,0.00092867645,2100
6.7822157e-06,5.285058e-05,-7.1740986e-05,0.003927823,2150
3.5673759e-06,1.8138475e-05,-1.2717839e-05,0.0007110439,2200
5.250503e-06,9.917231e-05,-8.036759e-05,0.004735943,2250
4.14937e-06,2.5420963e-05,-6.383483e-05,0.0016113676,2300
3.1641243e-06,1.7465249e-05,-1.7437746e-05,0.0010165558,2350
1.0679512e-05,0.00016392377,-8.2783066e-05,0.005979932,2400
