training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.47165513,0.0,-25.311928,-30.244406,0.61912733,-0.344266,21.056942,1.2809291,-22.20153,-26.858372,0.030092131,0.14431098017692565,721.5549113750458,1000
0.5044712,-1.0,-34.867035,-45.04479,0.3516052,-0.61318266,24.544308,-0.45726508,-33.00023,-42.060974,0.019860629,0.0010954496860504151,727.0321667194366,2000
0.9441156,0.0,-42.04351,-56.577343,1.0274388,-0.5534933,43.274635,0.62903184,-40.852623,-54.307835,0.033921216,0.0008832628726959228,731.4484889507294,3000
0.8018031,0.0,-46.294643,-65.81982,0.2421568,-0.56919736,25.505598,0.06540123,-45.638626,-64.08487,0.03070358,0.0010401031017303467,736.6490125656128,4000
0.9213419,-1.0,-46.001614,-72.139694,0.8174275,-1.0514867,42.804817,-0.92554617,-45.64138,-70.71846,0.035432234,0.0012307085514068603,742.8025619983673,5000
0.6992786,0.0,-50.462627,-76.690605,0.57516116,-0.9156058,37.564186,0.4799564,-50.18753,-75.01947,0.035421446,0.0012177579879760743,748.8913593292236,6000
0.3273604,0.0,-47.234932,-80.54207,0.4176599,-0.20924193,19.18471,-0.057669938,-46.986336,-79.58953,0.01330927,0.0010474025249481201,754.128378868103,7000
0.3725099,0.0,-47.70743,-82.92086,0.37575102,-0.84178936,26.91386,0.45754892,-47.523403,-82.358734,0.018999785,0.0010079040050506591,759.167905330658,8000
0.31895936,0.0,-47.862747,-84.90372,0.39506423,-0.3114879,17.157818,0.017416514,-47.670895,-83.67187,0.023362003,0.0011812434196472167,765.0741286277771,9000
0.53882325,-1.0,-49.316025,-80.036156,0.8575852,-0.8049948,28.623123,-0.76171625,-49.14135,-79.86619,0.030154504,0.0009449418067932129,769.7988448143005,10000
0.27886844,0.0,-47.006664,-88.027916,0.5006471,-0.2963782,11.976757,0.012227938,-46.83229,-87.46693,0.012118025,0.0011980589389801025,775.78915143013,11000
0.16114642,0.0,-47.92269,-84.7656,0.19827734,-0.2121779,7.936372,0.06898499,-47.786503,-84.7138,0.008126933,0.0009327370643615723,780.4528443813324,12000
0.12368341,-2.9701,-47.856617,-82.04736,0.16218182,-0.15569474,6.408076,-2.857611,-47.71443,-81.97075,0.006963904,0.0010476418495178222,785.6910605430603,13000
0.29410487,-1.0,-47.99755,-89.821396,0.42530996,-0.4540692,15.181939,-0.35863844,-47.876034,-89.28919,0.021581419,0.0009788533687591552,790.5853343009949,14000
0.09972775,0.0,-48.511673,-84.11964,0.3031177,-0.46300843,11.595992,0.027102478,-48.366356,-84.121666,0.0055692624,0.0011497087478637695,796.3338854312897,15000
0.13243863,0.0,-45.970596,-90.46578,0.29072255,-0.25736302,9.005028,0.26140538,-45.831978,-90.03951,0.009379829,0.0009120368003845214,800.8940780162811,16000
0.19987959,0.0,-46.366302,-90.48983,0.24850528,-0.6428636,10.695742,0.31273222,-46.23005,-90.14164,0.009647113,0.001138253402709961,806.5853543281555,17000
0.13286725,0.0,-49.866325,-90.71026,0.3190011,-0.21078141,9.311873,-0.2118612,-49.747223,-90.32461,0.007326626,0.0010654242515563965,811.9124822616577,18000
0.20384884,0.0,-45.94929,-87.58046,0.19757828,-0.7214309,17.833649,0.19129106,-45.824623,-87.504234,0.008735472,0.0011242011070251466,817.5334949493408,19000
0.085536815,-1.0,-47.31156,-90.33599,0.08701798,-0.3043357,7.8609715,-0.9993255,-47.184494,-90.38322,0.003685961,0.0009872283458709718,822.469643831253,20000
0.25090635,0.0,-49.53091,-83.68124,0.5003203,-0.18418598,16.534445,0.46932548,-49.424736,-83.612564,0.012513357,0.0011817992687225341,828.3786556720734,21000
0.13898113,0.0,-48.765205,-89.01044,0.13432245,-0.30358914,8.202604,0.2057574,-48.636105,-89.25814,0.0066541075,0.0010400158882141112,833.5787422657013,22000
0.10166717,0.0,-49.945377,-87.27197,0.09930065,-0.29294658,6.9479146,-0.03529077,-49.834393,-87.188515,0.004430132,0.0011354497909545898,839.2559988498688,23000
0.19528064,-1.0,-49.390167,-88.89327,0.16690484,-0.5785644,13.437268,-0.67353994,-49.272026,-89.0697,0.009846689,0.0009522409915924072,844.0172100067139,24000
0.04930768,-1.0,-49.10986,-83.75907,0.07904773,-0.2263589,5.7920046,-0.7512091,-48.988678,-83.7628,0.0029038826,0.0011905150413513183,849.9697916507721,25000
0.123825975,0.0,-48.99192,-90.85896,0.22602245,-0.121115714,6.3427587,0.021826416,-48.891426,-90.512436,0.005015091,0.0010510208606719972,855.2249026298523,26000
0.084781334,0.0,-47.89106,-89.36502,0.13399452,-0.16996926,4.252725,0.36361453,-47.78634,-89.461426,0.0040707756,0.0009418170928955078,859.9339964389801,27000
0.10976307,0.0,-47.209953,-89.32302,0.35324734,-0.38313282,7.957626,0.12181762,-47.123806,-89.34243,0.0052850405,0.0010680441856384278,865.2742240428925,28000
0.07702954,-1.99,-48.005928,-89.02335,0.24171264,-0.12748614,5.298267,-1.6889869,-47.91537,-89.13063,0.0034441468,0.0010213724613189698,870.3810935020447,29000
0.0870591,0.0,-47.48501,-91.029686,0.19336098,-0.2692162,5.941546,0.43221775,-47.39026,-90.6335,0.005136086,0.0011325879573822022,876.0440409183502,30000
0.0473397,0.0,-49.78792,-83.50507,0.07719319,-0.11926222,3.0057616,0.04800795,-49.69812,-83.46195,0.0024364516,0.0009267394542694092,880.6777448654175,31000
0.073461406,0.0,-45.85439,-87.42844,0.09137653,-0.15785016,4.2071652,-0.04043135,-45.760513,-87.43958,0.002966382,0.0010821115016937256,886.0883095264435,32000
0.058392677,-1.0,-49.10949,-89.60369,0.38089055,-0.167488,9.122708,-0.7176458,-49.02593,-89.71297,0.0023250314,0.0010530721664428712,891.3536772727966,33000
0.047718912,0.0,-49.908646,-87.026024,0.15703645,-0.1984761,4.3580565,0.18328214,-49.821854,-86.997604,0.0023852482,0.0012016552925109864,897.3619606494904,34000
0.053274643,-1.0,-49.35949,-85.97146,0.08738567,-0.28551972,7.1492987,-0.89417034,-49.270485,-86.079445,0.0030437936,0.0009779202938079833,902.2515678405762,35000
0.08715801,0.0,-47.79567,-90.02819,0.1851975,-0.22909954,4.8807487,0.19238013,-47.724655,-90.10247,0.004465521,0.001221439552307129,908.358775138855,36000
0.080330744,0.0,-48.65508,-82.96874,0.4153018,-0.1667814,8.394102,0.109770805,-48.5714,-82.96261,0.003194887,0.001251796007156372,914.6177625656128,37000
0.060762197,0.0,-49.92755,-84.11461,0.17651014,-0.12737696,4.072286,0.12881893,-49.852196,-84.039696,0.003718894,0.000866280460357666,918.9491724967957,38000
0.0694662,0.0,-47.85306,-90.60575,0.27729577,-0.102984615,7.3803754,0.07251716,-47.77669,-90.63867,0.00346892,0.0008526131153106689,923.2122452259064,39000
0.07761893,-1.0,-49.92856,-91.02062,0.18421224,-0.3596172,6.217356,-0.9334099,-49.84823,-90.77454,0.0030699326,0.0011324252605438233,928.8743784427643,40000
0.05497583,0.0,-47.581394,-89.398994,0.103294134,-0.18648778,3.7932348,0.081020765,-47.498764,-89.43957,0.0025283839,0.0010292720794677734,934.0207459926605,41000
0.059902422,0.0,-50.05741,-83.344734,0.2240547,-0.16680993,4.434554,0.04368914,-49.983513,-83.27895,0.0031474798,0.0011934260368347167,939.9878840446472,42000
0.05424943,0.0,-46.74955,-86.30459,0.19786465,-0.209366,4.686016,0.14412427,-46.664066,-86.22042,0.006141202,0.001026726245880127,945.1215224266052,43000
0.048344113,0.0,-48.327057,-87.00384,0.11151928,-0.12081308,3.4497895,0.055656515,-48.24189,-86.86092,0.003871207,0.0011289974689483642,950.7665197849274,44000
0.074109964,-1.0,-49.261635,-87.222885,0.1395522,-0.3130345,6.9185624,-0.9759249,-49.18223,-87.30658,0.0031284073,0.000859995985031128,955.0665078163147,45000
0.041784845,-1.0,-49.548256,-90.41778,0.15779132,-0.11963117,3.979168,-0.91039085,-49.48223,-90.48038,0.002388246,0.0009498907089233398,959.8159685134888,46000
0.03524577,0.0,-50.44595,-89.26607,0.08147071,-0.18271548,3.9666712,0.018549174,-50.378937,-89.302475,0.0022222819,0.0012616281032562255,966.1241154670715,47000
0.053289086,0.0,-49.23895,-91.00779,0.14836212,-0.3131187,7.0138683,0.052896887,-49.167152,-90.85545,0.0027794212,0.0011767333507537842,972.0077881813049,48000
0.042891297,-1.0,-48.027508,-90.81543,0.18766963,-0.06464476,4.185067,-0.8794924,-47.9457,-90.80722,0.0024099192,0.0010664196014404297,977.3398928642273,49000
0.058907904,0.0,-50.536316,-88.36404,0.09673901,-0.18721096,3.8576465,0.011416435,-50.45022,-88.2855,0.0033797408,0.0012198259353637696,983.4390361309052,50000
0.046144247,0.0,-48.843372,-87.35837,0.06971249,-0.21838787,5.0857725,0.15294734,-48.775192,-87.31414,0.002502122,0.005275704526901245,1009.8175611495972,55000
0.027960984,0.0,-47.712067,-87.51951,0.13020083,-0.11719808,2.544196,-0.09321168,-47.64878,-87.480515,0.0015880535,0.005108808326721191,1035.3616054058075,60000
0.05055827,0.0,-49.955887,-85.507324,0.24419671,-0.27288157,5.2783666,0.1570735,-49.88775,-85.45098,0.003381495,0.005253457736968994,1061.6288974285126,65000
0.036457736,-1.0,-48.267105,-90.746284,0.17507985,-0.17563102,2.9499938,-0.92807114,-48.196724,-90.79677,0.0019352934,0.003967857933044433,1081.4681899547577,70000
0.020981343,0.0,-46.594925,-85.00814,0.08593845,-0.27744752,5.6767282,0.06554275,-46.5324,-85.05186,0.001159798,0.00431507830619812,1103.0435843467712,75000
0.030207586,0.0,-47.08557,-88.71409,0.087987185,-0.10045591,1.9094793,0.048508488,-47.031445,-88.680176,0.0014893677,0.004341307640075683,1124.7501249313354,80000
0.016390111,0.0,-48.786747,-87.574326,0.120152086,-0.049219728,2.2206075,0.12846029,-48.734245,-87.54231,0.00082950137,0.004168626308441162,1145.5932590961456,85000
0.024177514,-1.0,-48.97741,-85.08589,0.053486723,-0.11290742,2.2030516,-0.89482355,-48.930054,-85.148155,0.0024870906,0.0043297482013702395,1167.2420029640198,90000
0.02733546,-1.0,-46.882812,-85.99937,0.26748392,-0.10326551,4.096887,-0.83736527,-46.83564,-85.97544,0.001276983,0.004547375535964966,1189.978883266449,95000
0.015672028,0.0,-48.838593,-90.33483,0.083160035,-0.04142049,1.6128607,0.18101501,-48.777473,-90.34682,0.00171327,0.00493777494430542,1214.6677606105804,100000
0.026121294,0.0,-49.203773,-90.92185,0.07786856,-0.11143669,1.9292573,0.06459784,-49.152187,-90.98726,0.0016215828,0.11122420091629029,1770.7887680530548,105000
0.022390505,-1.0,-49.85092,-90.58745,0.060799796,-0.096578136,1.9111848,-0.93072146,-49.80353,-90.59657,0.0011970073,0.005230510759353638,1796.9413242340088,110000
0.016130261,0.0,-51.21383,-89.06725,0.058671817,-0.021234933,1.2132356,0.17026135,-51.16446,-88.99107,0.00085683505,0.005053987741470337,1822.2112662792206,115000
0.014266642,0.0,-48.392174,-86.435616,0.05590885,-0.15447335,3.291462,0.07152645,-48.35019,-86.48546,0.0006105353,0.0053114291191101075,1848.7684137821198,120000
0.017252527,0.0,-47.037148,-88.44302,0.12862769,-0.073157415,2.332622,0.010149017,-46.99366,-88.462685,0.0009258953,0.0048127192974090575,1872.8320808410645,125000
0.016498284,0.0,-50.87783,-90.53416,0.04288428,-0.15512395,2.7741148,0.010561049,-50.829212,-90.50748,0.0009800268,0.005110944318771363,1898.3868072032928,130000
0.02455331,0.0,-49.68039,-90.91617,0.08580333,-0.048254225,1.5157725,0.011608787,-49.640945,-90.958145,0.0011484786,0.004894290065765381,1922.8582599163055,135000
0.016910054,0.0,-49.768402,-85.78671,0.06429507,-0.20174764,3.868484,0.010491766,-49.72156,-85.79016,0.0011613364,0.004731931591033935,1946.5179207324982,140000
0.017753568,0.0,-46.773876,-89.66518,0.121864974,-0.06990193,1.7404512,0.016465232,-46.727,-89.67067,0.002343834,0.004332208967208862,1968.1789679527283,145000
0.019106068,0.0,-51.359055,-83.88736,0.20038593,-0.059593834,3.7252116,0.02541536,-51.31884,-83.82073,0.0016324742,0.00508906364440918,1993.6242878437042,150000
0.01372366,0.0,-50.17887,-88.53815,0.08086911,-0.2074221,3.9681287,0.055385366,-50.13835,-88.53456,0.00063122506,0.004339995670318604,2015.3242683410645,155000
0.01326963,0.0,-49.15081,-91.10257,0.04165535,-0.13350953,2.703067,0.073446736,-49.10594,-91.10248,0.00080129714,0.005343395376205444,2042.041247367859,160000
0.018371541,0.0,-48.670677,-89.053444,0.17360386,-0.10715552,3.0355928,0.019925423,-48.62922,-89.08353,0.0008450082,0.004576349353790283,2064.9229969978333,165000
0.0137712825,0.0,-48.15637,-91.00632,0.04909842,-0.11437404,1.7327932,0.026565783,-48.115967,-91.047195,0.0009205866,0.0052663124561309815,2091.254562139511,170000
0.011080846,0.0,-48.383533,-89.85862,0.08331583,-0.10311827,1.5230725,-0.008983873,-48.347363,-89.854614,0.0005068014,0.00471230001449585,2114.816064596176,175000
0.014745243,0.0,-50.314392,-87.96505,0.05867102,-0.08081925,1.088626,0.069869116,-50.278816,-87.93981,0.0007710729,0.005094059944152832,2140.2863676548004,180000
0.012041878,0.0,-49.459187,-86.240974,0.12617792,-0.04604265,2.6720393,0.023557253,-49.42256,-86.196266,0.00059825066,0.0044911658763885495,2162.742199897766,185000
0.010213414,0.0,-47.84418,-86.171936,0.13784033,-0.09681724,2.1895745,0.12495971,-47.80574,-86.20671,0.0006342492,0.004722501087188721,2186.354707956314,190000
