actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0.15700662,34.73999,-3.900995,-63.25191,-106.98727,192.46626,-108.62741,1320.7024,-7.292755,-59.993767,-102.34692,5.605938,5000
0.108618766,35.787514,-3.900995,-64.78677,-122.90211,118.75538,-130.76941,1556.3553,-8.612442,-61.930317,-121.638016,5.816704,10000
0.106617,44.445194,-9.80199,-69.22841,-132.60655,39.082275,-250.56152,2089.125,-6.0560026,-66.476,-129.63405,10.857372,15000
0.10544103,27.273466,-9.80199,-68.16171,-136.68462,78.1689,-63.74509,1169.4158,-8.4298315,-65.0148,-134.22899,3.8072252,20000
0.10207635,15.843674,-3.910995,-70.01457,-142.13457,44.20703,-10.483401,745.6602,-6.2112174,-67.789185,-139.00346,3.8308747,25000
0.083703406,23.742409,-3.940399,-72.95492,-143.28133,72.95801,-64.30646,1883.5625,-7.042819,-70.90992,-142.72664,6.798429,30000
0.09865174,15.656447,-3.910995,-68.40189,-145.65076,31.843052,-117.84082,931.92444,-4.480572,-65.94534,-143.038,3.5824103,35000
0.09712483,21.686113,-7.5501823,-66.08449,-148.2815,138.15123,-62.17639,1734.5911,-4.324151,-63.540733,-140.81155,5.241662,40000
0.08145868,28.385447,-3.910995,-66.94084,-139.54408,185.14856,-34.490784,1841.3198,-3.5265865,-64.759186,-138.1946,6.0538163,45000
0.0734758,19.200203,-3.930696,-67.08848,-144.57977,912.2717,-151.48499,3868.9,-5.63575,-64.87032,-147.5268,5.5259047,50000
0.0890717,19.670132,-3.900995,-71.990524,-147.97304,17.925917,-20.86557,1193.0415,-4.0377774,-68.55647,-144.44249,6.922695,55000
0.07441256,23.558456,-3.910995,-71.54981,-147.65553,77.82846,-42.2535,1425.1885,-4.997091,-69.52031,-138.30624,4.416664,60000
0.077061936,14.061146,-7.256085,-71.50689,-147.13428,38.539417,-31.6371,698.2119,-4.3021026,-69.172035,-141.43759,3.0838823,65000
0.091614775,18.107666,-3.910995,-65.59114,-146.91408,41.731434,-86.26508,1334.76,-6.226112,-63.892387,-147.69946,4.3427067,70000
0.07754745,19.776836,-3.900995,-70.01091,-151.73651,52.722797,-150.009,1408.349,-1.524872,-67.845695,-149.63602,5.8610353,75000
0.0724269,30.18027,-3.900995,-70.84055,-147.99739,23.228363,-54.66198,1376.0095,-3.9278984,-68.688446,-146.25446,5.120673,80000
0.08445382,14.827427,-3.900995,-70.05342,-153.59491,438.08264,-14.679858,1817.2654,-0.77509487,-67.33818,-156.15076,4.3839655,85000
0.04611862,27.521248,-3.900995,-69.36655,-149.40598,240.76062,-56.862404,2113.2373,-3.1987073,-67.750175,-148.75989,2.6726031,90000
0.07254298,22.321503,-3.930696,-72.4422,-147.08426,73.83531,-369.91656,2490.6794,-5.225341,-69.660774,-144.30603,6.949896,95000
0.05300479,14.702467,-3.940399,-73.475266,-153.12186,29.568983,-34.69194,819.4945,-8.44221,-71.84786,-151.01132,2.116738,100000
