actor/actor_loss,grad/max,grad/min,grad/norm,step
1.1837361,0.008696399,-0.010438815,0.3797654,1
0.07976739,0.046596356,-0.031560384,3.2601705,5000
0.04026279,0.035976037,-0.022884445,2.1574135,10000
0.04476607,0.07848722,-0.07672659,3.901003,15000
0.03930273,0.06053432,-0.033518888,2.281714,20000
0.035329465,0.07420119,-0.14887081,2.969557,25000
0.030977866,0.04218489,-0.050470907,1.9769962,30000
0.038959756,0.054332457,-0.10885469,2.1770475,35000
0.027768178,0.078876406,-0.051213033,2.197683,40000
0.03614684,0.07620266,-0.09134598,2.387942,45000
0.022725565,0.053034376,-0.106399916,2.1506655,50000
0.035490245,0.09913844,-0.13903488,3.5438125,55000
0.028538484,0.03476252,-0.0692191,1.8770283,60000
0.026170932,0.10848465,-0.08182551,2.0016932,65000
0.03175604,0.04747366,-0.09499727,2.0672827,70000
0.026002062,0.1067287,-0.068666264,1.9210348,75000
0.020384327,0.05706085,-0.11428382,1.9006637,80000
0.03564216,0.06858004,-0.04743155,1.964733,85000
0.0120891025,0.03519055,-0.033313397,1.7707112,90000
0.026889017,0.06836849,-0.09984886,1.8297899,95000
0.013146266,0.059068497,-0.029503385,1.2308997,100000
0.029326139,0.05513236,-0.06267607,1.751544,105000
0.015161878,0.0317749,-0.0429657,1.210182,110000
0.023135733,0.044763412,-0.075167924,1.6950738,115000
0.023076389,0.06784754,-0.05251182,1.4505328,120000
0.023185523,0.05466284,-0.10900061,1.7092991,125000
0.012851298,0.055648517,-0.111128636,1.5160333,130000
0.010155407,0.05112259,-0.06353891,1.4745473,135000
0.021257857,0.0921725,-0.07657836,1.9221992,140000
0.027667178,0.08763874,-0.113086365,2.1103666,145000
0.021102786,0.081530645,-0.040969834,2.115401,150000
0.020796167,0.04954875,-0.0992858,1.3650553,155000
0.01898641,0.11159478,-0.22361313,2.0105689,160000
0.012712173,0.050689444,-0.051173326,1.4974313,165000
0.013983977,0.06204032,-0.12392799,1.4900141,170000
0.01932073,0.085423924,-0.10887057,1.8477495,175000
0.010199462,0.044644356,-0.02932518,0.8758876,180000
0.016550582,0.13822149,-0.08806242,2.5801616,185000
0.018628687,0.029033247,-0.058649458,1.2830336,190000
0.016907489,0.04775847,-0.054134812,1.635633,195000
0.023222191,0.048748642,-0.074941196,1.7929784,200000
0.018633382,0.12050533,-0.10745435,2.3896003,205000
0.017699845,0.080612354,-0.08622832,1.7637237,210000
0.015592647,0.07052965,-0.061134048,1.4424397,215000
0.010399277,0.03428745,-0.04002929,1.0785189,220000
0.017465265,0.04637709,-0.06637228,1.2565848,225000
0.017212385,0.04635823,-0.023514679,1.2325857,230000
0.010661183,0.038994465,-0.038512323,1.07657,235000
0.022431213,0.07150135,-0.12272696,2.0303962,240000
0.013384594,0.057542462,-0.07551612,1.4933305,245000
0.020345017,0.12284465,-0.08363298,1.6962402,250000
