actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0.078020655,0.605903,-3.900995,-45.21182,-72.76828,1.6676315,-2.4961507,95.71011,-3.7403243,-44.988724,-71.40857,0.036056202,5000
0.040995296,0.37839228,-3.900995,-47.3096,-82.49818,1.006943,-0.61917615,36.204517,-3.5956893,-47.154877,-81.83458,0.01695451,10000
0.038526107,0.1600271,-3.900995,-45.082504,-78.62381,0.7506731,-1.2115242,34.68013,-3.6340766,-44.951668,-78.94658,0.004210496,15000
0.034150865,0.29891327,-3.900995,-45.439537,-80.95314,0.5978092,-0.36018032,21.171103,-3.712014,-45.286316,-80.764114,0.027520081,20000
0.030575382,0.16591644,-3.900995,-46.39788,-75.55206,0.6526112,-0.22197156,19.015598,-3.4282005,-46.250874,-75.52987,0.019582456,25000
0.0217956,0.09067423,-3.900995,-45.190582,-78.7241,0.3573208,-0.30798393,9.653528,-3.7858634,-45.104362,-78.718094,0.0028484212,30000
0.033039737,0.06532907,-3.900995,-45.571384,-80.55249,0.45214313,-0.49299425,18.756342,-3.756947,-45.491898,-80.41863,0.0072855228,35000
0.019463131,0.052362055,-3.900995,-48.796776,-79.87908,0.19674498,-0.6861185,14.002108,-3.8283672,-48.689857,-79.85003,0.0047665895,40000
0.026742306,0.0082355365,-3.900995,-46.23007,-81.62012,0.103161916,-0.027628615,4.5323367,-3.8490274,-46.17372,-81.51226,0.0006581316,45000
0.017149637,0.10237624,-3.900995,-46.704674,-80.78677,0.19286092,-0.28607446,13.541055,-3.8544767,-46.634544,-80.42414,0.014167704,50000
0.025445363,0.02253173,-3.900995,-43.720535,-80.5895,0.08593724,-0.10490477,6.255269,-3.8431356,-43.687134,-80.49898,0.002773106,55000
0.023907322,0.02449751,-3.900995,-46.994755,-80.71879,0.09245075,-0.06308739,4.066807,-3.9025848,-46.95169,-80.48514,0.0021549698,60000
0.019841753,0.016571276,-3.900995,-46.731865,-79.250595,0.036536742,-0.08212873,4.360838,-3.8316903,-46.681107,-79.186195,0.0007175644,65000
0.025844298,0.048782755,-3.910995,-47.31261,-81.7057,0.14089021,-0.07319838,5.4877577,-3.7061303,-47.25724,-81.593155,0.0016393989,70000
0.02720208,0.009880755,-3.900995,-45.85293,-81.3527,0.08497594,-0.06753234,3.9354744,-3.833834,-45.80827,-81.2307,0.0007798049,75000
0.017429205,0.047414236,-3.900995,-46.690735,-78.51669,0.14433447,-0.5486847,10.038114,-3.6490076,-46.64056,-78.59611,0.0022453489,80000
0.023385724,0.011883434,-3.920895,-46.603195,-80.30057,0.052851044,-0.09536501,3.7650323,-3.8379247,-46.570957,-80.2846,0.0005081316,85000
0.0074039274,0.1080748,-3.900995,-46.76809,-80.95058,0.2872761,-0.3088411,12.58552,-3.77931,-46.740913,-80.84635,0.013072008,90000
0.02000784,0.0099105295,-3.900995,-48.175545,-79.581635,0.07620198,-0.14375764,5.1729455,-3.8642092,-48.131035,-79.58489,0.00030299913,95000
0.013856091,0.0036075553,-3.910995,-46.52141,-80.945206,0.0886728,-0.052058976,2.935942,-3.7998269,-46.49235,-80.82909,0.00028634918,100000
0.02242521,0.00695098,-3.900995,-46.47409,-82.01619,0.03677743,-0.12700433,3.8453398,-3.703971,-46.424355,-81.834595,0.0065761623,105000
0.012306507,0.0061678104,-3.900995,-47.30416,-80.31284,0.025690628,-0.08508902,2.4440694,-3.8849435,-47.252266,-79.99862,0.001676318,110000
0.021763556,0.004370465,-3.900995,-43.733307,-80.983864,0.069112845,-0.11668414,3.9420223,-3.8881595,-43.70579,-80.94065,0.0005351021,115000
0.017704757,0.004632471,-3.900995,-48.11683,-80.55656,0.038486894,-0.17586192,4.027793,-3.903033,-48.09578,-80.50889,0.0003529528,120000
0.015400757,0.014837256,-3.900995,-47.00878,-81.4227,0.09374292,-0.13076633,5.121424,-3.8461752,-46.9663,-81.65731,0.0009371197,125000
0.009072672,0.015803702,-3.900995,-46.767944,-80.50126,0.04378186,-0.06849844,3.2330067,-3.8250992,-46.706337,-80.18511,0.0008046249,130000
0.006653367,0.0064036744,-3.900995,-46.837704,-81.44513,0.07048813,-0.027742498,2.4414425,-3.7440462,-46.807358,-81.4464,0.000472365,135000
0.013055232,0.01859637,-3.920895,-45.357155,-80.62186,0.05154256,-0.07353009,2.6877759,-3.9014661,-45.331825,-80.63616,0.00039110472,140000
0.018706637,0.14651577,-3.910995,-47.27014,-77.14295,0.73402,-0.7330881,41.771774,-3.8460896,-47.25867,-77.203865,0.011514505,145000
0.016854519,0.009313455,-3.900995,-45.578545,-79.848976,0.124016955,-0.09599832,3.284895,-3.8436248,-45.54422,-80.03539,0.00059419015,150000
0.013529436,0.023696551,-3.900995,-48.242508,-79.290276,0.09790012,-0.097129375,2.7403827,-3.8895202,-48.213783,-79.29152,0.00048009102,155000
0.012654046,0.0077741817,-3.900995,-48.115585,-81.215965,0.05727253,-0.036487106,2.2307403,-3.8658757,-48.083244,-81.02995,0.0035613321,160000
0.009553441,0.19486372,-3.900995,-47.420418,-80.54263,1.0082985,-1.353191,40.407814,-3.8612761,-47.39605,-80.548164,0.00028134786,165000
0.013444766,0.03719782,-3.920895,-46.80863,-81.42741,0.40300494,-0.9499819,26.597878,-3.5486186,-46.778267,-81.2461,0.043277856,170000
0.011848009,0.0036919832,-3.900995,-47.63131,-79.42918,0.1839585,-0.079731494,4.3011527,-3.9053786,-47.606865,-79.383125,0.00012068321,175000
0.0076540676,0.002245558,-3.900995,-47.780045,-81.56864,0.13706508,-0.030697983,2.641002,-3.903525,-47.760426,-81.54424,0.00020547846,180000
0.011764212,0.0121231815,-3.900995,-46.45855,-80.56759,0.029937262,-0.077093154,2.603008,-3.8773496,-46.446888,-80.5567,0.00033609103,185000
0.015496628,0.008430322,-3.900995,-47.84935,-77.08086,0.088331446,-0.0717653,3.5680933,-3.7605357,-47.813572,-77.12523,0.0008709539,190000
0.011801893,0.0042763427,-3.900995,-47.28221,-79.86676,0.051527612,-0.038213655,1.9377384,-3.866142,-47.257446,-80.06008,0.0005816631,195000
0.01751588,0.0061191823,-3.900995,-45.606873,-78.46454,0.06879555,-0.19761197,5.56012,-3.8652005,-45.567165,-78.415276,0.0015958345,200000
0.019092275,0.0056089214,-3.900995,-48.07327,-81.093925,0.21463633,-0.045387648,4.2658906,-3.9004087,-48.044712,-80.99775,0.0002835745,205000
0.013402576,0.3739922,-3.900995,-46.924137,-81.4581,0.81885886,-0.5401999,32.812042,-3.898456,-46.88759,-81.38521,0.0052364264,210000
0.008852547,0.005387295,-3.920895,-49.067772,-79.215866,0.060736883,-0.03730902,2.1032662,-3.8418126,-49.046127,-79.19919,0.00040247024,215000
0.00808442,0.021840254,-3.900995,-47.268837,-81.24995,0.13927093,-0.15144123,5.510362,-3.760306,-47.24532,-81.2408,0.00037214777,220000
0.014314948,0.006977948,-3.910995,-47.356384,-81.41267,0.26128542,-0.058825858,5.0722404,-3.8881001,-47.328552,-81.361626,0.0004024412,225000
0.010682233,0.00852764,-3.910995,-46.185837,-79.26358,0.11832004,-0.054992493,3.5677419,-3.8195713,-46.165337,-79.18298,0.0009225658,230000
0.007053612,0.013115799,-3.900995,-45.642464,-79.45029,0.13075227,-0.0336391,2.5043924,-3.8760843,-45.618504,-79.42949,0.0006075201,235000
0.015046748,0.047301304,-3.900995,-48.361855,-79.65439,0.46908045,-0.17261705,8.311027,-3.807024,-48.343433,-79.396454,0.006856894,240000
0.0053239763,0.003687279,-3.900995,-47.834393,-77.35045,0.112416714,-0.032641426,2.7102585,-3.8930979,-47.809155,-77.28306,0.00038979555,245000
0.012525029,0.0019399136,-3.900995,-46.967606,-77.40158,0.08712363,-0.05189074,2.239648,-3.9039748,-46.948784,-77.31421,0.00019236421,250000
0.012648519,0.003089041,-3.910995,-49.819267,-80.423096,0.042119693,-0.14646998,3.5337014,-3.914474,-49.797806,-80.24844,0.00041787443,255000
0.018293332,0.3021568,-3.900995,-46.379868,-81.93604,0.36318994,-1.067766,26.105835,-3.2959893,-46.3158,-81.69957,0.044446807,260000
