training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.5674624,0.0,-24.854445,-30.405966,0.40748617,-0.6347458,26.66651,0.6421234,-21.893208,-26.661097,0.031471185,0.4015682990550995,2007.8415064811707,1000
0.3177073,0.0,-34.74411,-45.11314,0.2623024,-0.33637238,16.982107,0.21749534,-32.841873,-42.152363,0.022329997,0.0007096073150634765,2011.3895525932312,2000
0.7087035,0.0,-40.939003,-56.51528,0.90070665,-0.41193855,41.111153,-0.26966208,-39.766094,-54.28332,0.028340897,0.0006865783214569091,2014.8224523067474,3000
0.5006689,0.0,-45.61247,-65.94544,0.63498485,-0.5317423,23.191008,0.22181547,-44.93183,-64.16022,0.025374211,0.0007152108192443848,2018.3985147476196,4000
0.621878,0.0,-46.961746,-72.45333,0.6192236,-0.3133391,29.534563,0.3816674,-46.563293,-70.99841,0.028775085,0.0007980083465576171,2022.3885667324066,5000
0.46786824,0.0,-46.681847,-76.80512,0.25357455,-0.5422821,26.073181,0.2512114,-46.355568,-75.5454,0.031276014,0.0008333148002624512,2026.5551490783691,6000
0.23103698,0.0,-46.806374,-80.288185,0.29744285,-0.3580556,14.272429,0.20552585,-46.626297,-79.37919,0.013790073,0.0007706684112548829,2030.4084992408752,7000
0.27927625,0.0,-47.463196,-83.25658,0.3170123,-0.3155873,13.539445,0.2555731,-47.252968,-82.307686,0.013664376,0.0007734652996063232,2034.27583360672,8000
0.2662225,0.0,-48.60431,-85.18479,0.12864581,-0.3553432,13.875446,0.21354693,-48.40703,-84.24143,0.012626365,0.0008008967399597168,2038.280327796936,9000
0.23861021,0.0,-46.60987,-87.27964,0.2770747,-0.22176358,11.245745,1.4618181,-46.450813,-86.66337,0.014984701,0.0010950313568115235,2043.755493402481,10000
0.1907354,0.0,-48.586197,-88.3815,0.23210825,-0.13377793,10.569204,-0.25912124,-48.422977,-87.92372,0.010523835,0.0010017078876495362,2048.764041662216,11000
0.2225568,0.0,-48.752636,-89.32606,0.29164842,-0.4111355,13.608647,0.17996572,-48.573452,-88.76103,0.009383147,0.0009320034027099609,2053.4240674972534,12000
