actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0.16095679,34.41342,-3.900995,-65.80582,-114.02829,28.896442,-39.929928,933.2367,-4.3691325,-63.092743,-109.55512,4.5547757,5000
0.112188525,40.088436,-3.900995,-68.35424,-141.02278,101.78552,-67.32483,1254.4435,-5.7108254,-66.505684,-138.01346,6.125624,10000
0.11026464,10.477238,-9.176329,-74.00639,-156.45012,31.151527,-16.84127,384.44745,-6.130674,-72.03111,-154.1833,1.4827659,15000
0.107084244,12.344341,-9.80199,-72.080215,-162.26817,142.49414,-17.14917,749.45447,-7.5302887,-70.01997,-160.28563,1.9419031,20000
0.10159896,10.767635,-3.910995,-74.7215,-167.84451,15.618581,-12.842682,467.57443,-3.9301796,-73.183945,-165.78151,1.2335659,25000
0.08018446,10.1632595,-3.940399,-77.56758,-166.81236,7.8735037,-10.310743,391.3722,-6.8682523,-76.31723,-166.05191,1.6404396,30000
0.10271579,8.115967,-3.910995,-71.33098,-156.77591,6.8046875,-9.5546875,318.0102,-4.257202,-69.9384,-156.92029,1.4596115,35000
