classifier_loss,grad/max,grad/min,grad/norm,step
4.518355,1.3356619,-1.5384493,151.88348,1
0.8724648,1.3800027,-1.3905259,41.614124,5
0.92964923,1.6161247,-1.6485944,50.259087,10
0.6932919,1.0527962,-1.08333,22.773317,15
0.52936274,0.15916982,-0.088755846,6.1597667,20
0.4889832,0.34590942,-0.36315483,10.476439,25
0.34470707,0.09966435,-0.09558743,6.307639,30
0.21499887,0.4276724,-0.30879042,18.229149,35
0.11731398,0.51538706,-0.33898503,20.598213,40
0.043651,0.29872578,-0.1936197,10.690518,45
0.09414012,0.5990484,-0.3734136,22.895338,50
0.033356745,0.077741094,-0.06690054,4.8420525,55
0.035726123,0.10105582,-0.12094405,6.3979836,60
0.01575488,0.049858876,-0.081121,3.5690656,65
0.01480275,0.051927753,-0.10548946,3.6732597,70
0.028669866,0.08216413,-0.059427433,4.5013137,75
0.04430882,0.1130213,-0.16504264,6.4220004,80
0.036907036,0.1609351,-0.15111612,9.569151,85
0.024395017,0.10698366,-0.1720523,5.745998,90
0.015148114,0.03124113,-0.027903521,1.6508532,95
0.030712726,0.2066035,-0.111772634,8.844343,100
0.012356648,0.046335645,-0.052878745,2.6175961,105
0.0049437913,0.013912167,-0.016570127,0.8531446,110
0.0051137386,0.008883076,-0.009192266,0.59100944,115
0.008064364,0.029960578,-0.047054477,1.6505383,120
0.0056517324,0.015040934,-0.01597253,1.0349189,125
0.019254802,0.08087765,-0.073841564,4.135966,130
0.006311425,0.024277078,-0.025999937,1.578949,135
0.00853367,0.052585885,-0.046298966,3.0601606,140
0.0065371785,0.047008015,-0.033121616,2.0921228,145
0.0020583274,0.01664156,-0.012212499,0.7192142,150
0.0025565615,0.0150679145,-0.018466046,0.90621334,155
0.011105385,0.049950194,-0.040849797,2.7690341,160
0.0068416405,0.014343884,-0.016868943,0.8958156,165
0.006652854,0.04949498,-0.03995843,2.5089214,170
0.0015529983,0.010877188,-0.011681164,0.72023535,175
0.0017473896,0.00805375,-0.015289009,0.53895843,180
0.0022492728,0.019339407,-0.022336489,1.2736348,185
0.0043656905,0.04000637,-0.024001269,1.8261375,190
0.004902763,0.032604463,-0.030348647,1.4451623,195
0.007964492,0.06218722,-0.03535623,1.5915102,200
0.008217503,0.028974742,-0.04716506,2.1068475,205
0.0027206223,0.012605011,-0.02369177,0.91414666,210
0.006427639,0.04416714,-0.03476252,1.6013758,215
0.0056128595,0.032525856,-0.015689962,1.2995511,220
0.003584628,0.031740185,-0.02500019,1.2263978,225
0.0016344356,0.007819933,-0.010660703,0.38493004,230
0.0011232567,0.0024652989,-0.0031583551,0.1776906,235
0.0022209296,0.008672832,-0.0072606206,0.5356038,240
0.0015835894,0.0070323134,-0.0037506202,0.28170794,245
0.005036164,0.0425259,-0.029139075,1.601132,250
0.0006021828,0.0021062042,-0.0025018142,0.12692612,255
0.017453391,0.07990168,-0.04828047,4.2248487,260
0.027450895,0.0915712,-0.13808095,7.7717285,265
0.011379299,0.10131948,-0.08845948,4.2200623,270
0.0021767393,0.019671159,-0.02094363,0.99597216,275
0.0042990516,0.0251266,-0.023366686,1.4176364,280
0.011687182,0.09041848,-0.04346887,3.9066424,285
0.013340676,0.040595137,-0.06809588,3.6444285,290
0.0062659886,0.038426176,-0.04514271,2.3321772,295
0.00072008965,0.0035051212,-0.0028525814,0.19157337,300
0.00058460166,0.0025254507,-0.002344218,0.176342,305
0.0015819707,0.0073553156,-0.008082952,0.5153745,310
0.0011135003,0.004542259,-0.0047469647,0.23464215,315
0.000280405,0.00089048047,-0.001136489,0.05794971,320
0.00021716447,0.00075939664,-0.0010681946,0.046468068,325
0.00014013908,0.0007136157,-0.00065424206,0.028540019,330
0.0005172654,0.0023931884,-0.0029920428,0.122806,335
0.0006976825,0.0051191226,-0.0047792266,0.26398128,340
0.0015460689,0.011809949,-0.006378105,0.4793523,345
0.00027447133,0.000774542,-0.0010215467,0.04483223,350
0.00064627186,0.004328355,-0.0041455626,0.16853209,355
0.00044742168,0.0021056223,-0.004134764,0.18173894,360
0.00028486992,0.0013388938,-0.0016785976,0.06471538,365
