actor/actor_loss,grad/max,grad/min,grad/norm,step
1.1863004,0.011418305,-0.008700284,0.36912858,1
0.13846852,0.032110356,-0.038256124,3.025001,5000
0.08323825,0.042111114,-0.08864114,2.125865,10000
0.10146251,0.059416465,-0.054253668,2.994523,15000
0.080012456,0.03422321,-0.07309788,2.5080101,20000
0.07522129,0.0630094,-0.05857598,2.1447387,25000
0.06562042,0.062523685,-0.04936828,1.6273792,30000
0.08254678,0.03468098,-0.05301145,2.190349,35000
0.058428943,0.07969403,-0.06665904,1.735977,40000
0.060575057,0.066345744,-0.1382006,2.2036877,45000
0.05346905,0.03691262,-0.06312857,1.9078302,50000
0.07434078,0.03721821,-0.072228126,2.174233,55000
0.05735746,0.03668167,-0.03947564,2.1300368,60000
0.062085956,0.03919124,-0.08114346,1.9478647,65000
0.071481444,0.08791149,-0.04201855,1.8645214,70000
0.05588536,0.04554335,-0.08141132,1.7762213,75000
0.055094656,0.078747526,-0.09723233,2.3130963,80000
0.0658035,0.08144428,-0.08613915,2.3132381,85000
0.03013074,0.056976784,-0.07297082,1.7702274,90000
0.064797275,0.13324037,-0.06406977,2.5728455,95000
0.04833109,0.17666382,-0.08425008,2.7178311,100000
0.06664971,0.057993438,-0.10762391,1.9651049,105000
0.042794805,0.05660232,-0.07473453,1.6724361,110000
0.061084803,0.14467582,-0.09890003,2.7643445,115000
0.053204995,0.036225785,-0.07156477,1.7060665,120000
0.04990161,0.059940327,-0.03010735,1.6490707,125000
0.04457709,0.08265644,-0.06949199,2.0437617,130000
0.03277583,0.05471364,-0.06266414,1.5555785,135000
0.051082786,0.12365268,-0.05886378,2.1489887,140000
0.05578284,0.1700354,-0.08066776,2.151073,145000
0.056231413,0.15591261,-0.07537235,2.5768564,150000
0.046931572,0.05847984,-0.12176241,2.3681219,155000
0.049956944,0.051352292,-0.06957605,2.2477288,160000
0.040096186,0.102667086,-0.11522354,2.477056,165000
0.038731765,0.0387637,-0.07566297,1.8589884,170000
0.04115688,0.07666078,-0.0868431,1.973028,175000
0.03182155,0.10033111,-0.05266781,1.8023623,180000
0.03924787,0.079992495,-0.11286977,1.5015078,185000
