actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0.096251786,1.442738,-3.900995,-45.226547,-73.61558,4.3533144,-1.711158,97.09621,-3.150906,-44.677555,-72.2542,0.14850885,5000
0.046902876,1.1167545,-3.900995,-44.273254,-77.21011,1.9630916,-1.584856,76.78685,-3.6585853,-43.88981,-76.8104,0.056186877,10000
0.048903473,0.9057088,-3.900995,-46.878593,-83.457924,1.2874146,-0.65777063,47.882484,-3.758416,-46.56701,-82.8232,0.052521273,15000
0.042190783,0.2783325,-3.910995,-47.02989,-85.50269,0.92783797,-0.49419907,31.37603,-3.6604373,-46.775772,-85.2695,0.023844413,20000
0.039905492,0.33237502,-3.900995,-47.35125,-87.87552,2.7175074,-1.0339867,54.556427,-3.8959007,-47.180412,-87.69357,0.018012129,25000
0.03252296,0.35646367,-3.900995,-47.079506,-84.01249,1.5901614,-0.92420673,43.60105,-3.7626421,-46.82728,-84.12503,0.025864702,30000
0.043749306,0.10769178,-3.900995,-50.552483,-86.765236,0.28432307,-0.19504213,11.747715,-3.676262,-50.365913,-85.752945,0.018840346,35000
0.02828563,5.05024,-3.900995,-47.289238,-82.915665,8.3307,-2.7156816,138.0396,-3.880197,-46.933426,-81.56223,0.6394346,40000
0.035654828,0.294293,-3.910995,-47.774357,-85.8119,0.78674763,-0.49920374,28.017206,-3.864611,-47.648026,-85.95026,0.009447125,45000
0.02531232,0.313219,-3.900995,-48.867756,-86.63384,1.0363861,-0.3369734,20.559332,-3.6850092,-48.735107,-86.21562,0.026249535,50000
0.033411548,0.15362024,-3.900995,-50.42771,-84.17989,0.51763654,-0.26277167,17.521633,-3.7374866,-50.292168,-83.98005,0.012644513,55000
0.031174023,0.06726124,-3.910995,-48.9527,-90.17682,0.10249904,-0.34983265,10.578505,-3.5761044,-48.810173,-90.04985,0.012775414,60000
0.03116453,0.9574808,-3.900995,-50.616913,-85.57708,11.846151,-1.0939671,65.11068,-3.7650971,-50.440697,-85.412674,0.092117384,65000
0.031269237,0.18985212,-3.900995,-47.286682,-89.32596,0.321652,-0.60613394,25.024254,-3.8038402,-47.217945,-89.22349,0.019363916,70000
0.03007525,0.108583644,-3.900995,-49.020905,-87.562904,0.4381133,-0.3887475,13.791746,-3.7731574,-48.91143,-87.48787,0.008198413,75000
0.023908285,0.1018197,-3.900995,-49.550537,-87.872246,0.13489737,-0.3794186,12.719049,-3.7945423,-49.398678,-87.695175,0.016715683,80000
0.039689977,0.099602565,-3.900995,-49.545185,-87.619064,0.3610652,-0.24150965,14.134178,-3.8718674,-49.405174,-87.650246,0.008623298,85000
0.011610403,0.07960319,-3.900995,-48.070335,-83.70235,0.40482268,-0.089621544,11.962753,-3.8964677,-47.950382,-83.633514,0.008815488,90000
